city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,preili,56.2944,26.7246,27.25,98,100,10.38,LV,1611956327
139,la possession,-20.9289,55.3351,78.8,65,0,12.66,RE,1611956327
140,afogados da ingazeira,-7.7508,-37.6392,74.55,72,99,5.41,BR,1611956063
141,marsh harbour,26.5412,-77.0636,65.86,70,85,17.05,BS,1611956327
142,ocos,14.5094,-92.1933,91.4,58,20,11.5,GT,1611956328
143,sheltozero,61.3667,35.3667,23.92,97,100,12.03,RU,1611956328
144,ushtobe,45.2514,77.9838,13.84,88,0,8.19,KZ,1611956328
145,lagos,6.5833,3.75,79.65,84,53,4.83,NG,1611956319
146,vung tau,10.346,107.0843,72.63,77,100,8.25,VN,1611956329
147,marawi,7.9986,124.2928,71.01,91,79,5.01,PH,1611956329
148,mahibadhoo,3.7833,72.9667,80.37,77,5,15.84,MV,1611956329
149,rjukan,59.8789,8.5941,14.52,81,0,7.29,NO,1611956329
150,mtwara,-10.2667,40.1833,80.42,83,22,11.12,TZ,1611956111
151,baherden,38.4362,57.4316,52.81,41,95,5.1,TM,1611956330
152,vostok,46.4856,135.8833,-18.54,89,100,2.19,RU,1611956330
153,kahului,20.8947,-156.47,78.8,57,40,23.02,US,1611956310
154,burnie,-41.0667,145.9167,59.0,99,97,3.0,AU,1611956330
155,severo-kurilsk,50.6789,156.125,21.4,91,98,14.29,RU,1611956330
156,aksarka,66.5606,67.7975,-43.02,80,24,2.75,RU,1611956265
157,auray,47.6703,-2.9918,50.0,100,90,12.66,FR,1611956331
158,besikduzu,41.052,39.2284,42.8,81,75,8.05,TR,1611956331
159,namatanai,-3.6667,152.4333,83.26,79,91,12.57,PG,1611956245
160,raudeberg,61.9875,5.1352,34.0,93,75,6.91,NO,1611956332
161,ballina,-28.8667,153.5667,73.4,88,75,5.75,AU,1611956332
162,lichinga,-13.3128,35.2406,64.4,100,75,8.05,MZ,1611956332
163,virginia beach,36.8529,-75.978,35.6,32,75,17.27,US,1611956038
164,mar del plata,-38.0023,-57.5575,73.4,60,75,6.91,AR,1611956217
165,kapaa,22.0752,-159.319,75.2,69,40,19.57,US,1611956220
166,upernavik,72.7868,-56.1549,-7.37,82,83,11.83,GL,1611956333
167,kirakira,-10.4544,161.9205,82.62,80,100,14.56,SB,1611956277
168,kinel-cherkassy,53.4706,51.4743,28.42,98,100,7.85,RU,1611956333
169,zaysan,47.4667,84.8667,-0.11,89,84,0.98,KZ,1611956301
170,vardo,70.3705,31.1107,23.0,93,75,14.97,NO,1611956328
171,semirom,31.4167,51.5667,32.09,98,98,5.57,IR,1611956334
172,hithadhoo,-0.6,73.0833,81.5,75,62,9.98,MV,1611956334
173,traverse city,44.7631,-85.6206,26.6,54,20,5.75,US,1611956334
174,hobyo,5.3505,48.5268,75.58,75,20,16.37,SO,1611956334
175,leninsk,48.7119,45.1994,30.2,93,0,11.18,RU,1611956335
176,kokubu,31.7333,130.7667,28.4,74,0,6.91,JP,1611956194
177,tezu,27.9167,96.1667,57.7,36,11,3.29,IN,1611956336
178,oostburg,43.6228,-87.7945,28.99,69,1,5.75,US,1611956336
179,aklavik,68.2191,-135.0107,-31.0,75,20,3.44,CA,1611956234
180,lompoc,34.6391,-120.4579,52.0,87,90,4.61,US,1611956336
181,carahue,-38.7,-73.1667,71.6,68,75,6.91,CL,1611956336
182,wisconsin rapids,44.3836,-89.8174,25.0,39,90,11.5,US,1611956337
183,kargil,34.5667,76.1,-11.42,77,13,1.39,IN,1611956337
184,dwarka,22.2394,68.9678,66.25,42,43,11.12,IN,1611956337
185,emba,48.8264,58.1442,22.91,95,100,8.61,KZ,1611956337
186,berlevag,70.8578,29.0864,23.0,74,75,9.22,NO,1611956074
187,sorong,-0.8833,131.25,78.48,82,100,5.99,ID,1611956338
188,kenai,60.5544,-151.2583,19.0,79,90,7.83,US,1611956338
189,vao,-22.6667,167.4833,75.67,76,97,22.28,NC,1611956338
190,tura,25.5198,90.2201,54.66,54,0,1.32,IN,1611956227
191,san quintin,30.4833,-115.95,59.95,63,49,14.97,MX,1611956294
192,udachnyy,66.4167,112.4,-36.9,80,76,4.7,RU,1611956339
193,nokaneng,-19.6667,22.2667,71.64,81,40,5.3,BW,1611956339
194,namwala,-15.7504,26.4384,66.72,97,100,3.58,ZM,1611956339
195,reconquista,-29.15,-59.65,90.66,48,67,5.97,AR,1611956339
196,leningradskiy,69.3833,178.4167,-24.02,84,98,8.95,RU,1611956260
197,kismayo,-0.3582,42.5454,77.2,83,0,14.43,SO,1611956340
198,yulara,-25.2406,130.9889,78.8,65,100,10.36,AU,1611956340
199,palu,-0.8917,119.8707,72.39,81,98,2.68,ID,1611956042
200,geraldton,-28.7667,114.6,82.4,23,0,24.16,AU,1611956340
201,road town,18.4167,-64.6167,78.8,69,20,5.75,VG,1611956306
202,goure,13.9835,10.2704,67.41,22,0,11.79,NE,1611956341
203,barrow,71.2906,-156.7887,-11.2,77,90,9.22,US,1611956102
204,port hedland,-20.3167,118.5667,80.6,89,36,5.75,AU,1611956317
205,mago,53.2514,140.1822,-5.26,91,100,2.95,RU,1611956342
206,kamina,-8.7386,24.9906,64.87,96,82,0.56,CD,1611956342
207,seoul,37.5683,126.9778,24.8,46,75,6.91,KR,1611956316
208,muli,2.9167,73.5667,80.8,80,54,17.36,MV,1611956342
209,great yarmouth,52.6083,1.7305,43.0,93,90,8.05,GB,1611956239
210,oranjestad,12.524,-70.027,80.6,74,20,18.41,AW,1611956151
211,san jose,37.3394,-121.895,57.99,54,40,5.75,US,1611956343
212,isangel,-19.55,169.2667,82.4,74,20,15.88,VU,1611956343
213,maymyo,22.0333,96.4667,55.99,77,0,1.88,MM,1611956344
214,okha,53.5739,142.9478,-6.29,90,99,9.53,RU,1611956344
215,constitucion,-35.3333,-72.4167,62.35,89,100,5.7,CL,1611956344
216,katsuura,35.1333,140.3,37.4,48,20,18.41,JP,1611956344
217,kodiak,57.79,-152.4072,35.6,64,75,11.5,US,1611956111
218,bredasdorp,-34.5322,20.0403,60.01,89,73,3.85,ZA,1611956119
219,harnosand,62.6323,17.9379,9.0,85,90,4.61,SE,1611956345
